,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,level_0,phase
495,1,1020,8.0,1.0,scene_1,107,144.0,2533,2677.0,574.8,970.8,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
496,2,2100,8.0,1.0,scene_1,108,410.0,2727,3137.0,638.5,577.1,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
497,1,1020,8.0,1.0,scene_1,108,410.0,2727,3137.0,638.5,577.1,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
498,2,2100,8.0,1.0,scene_1,109,280.0,3195,3475.0,118.3,543.2,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
499,1,1020,8.0,1.0,scene_1,109,280.0,3195,3475.0,118.3,543.2,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
500,2,2100,8.0,4.0,target,110,199.0,3528,3727.0,454.9,245.3,7,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,7,study
501,1,1020,8.0,4.0,target,110,199.0,3528,3727.0,454.9,245.3,7,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,43,study
502,2,2100,8.0,5.0,lure,110,199.0,3528,3727.0,454.9,245.3,7,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,7,study
503,1,1020,8.0,5.0,lure,110,199.0,3528,3727.0,454.9,245.3,7,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,43,study
504,2,2100,8.0,3.0,scene_2,110,199.0,3528,3727.0,454.9,245.3,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,7,study
505,1,1020,8.0,3.0,scene_2,110,199.0,3528,3727.0,454.9,245.3,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,43,study
506,2,2100,8.0,3.0,scene_2,111,323.0,3766,4089.0,376.9,134.9,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,7,study
507,1,1020,8.0,3.0,scene_2,111,323.0,3766,4089.0,376.9,134.9,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,43,study
508,2,2100,8.0,3.0,scene_2,112,110.0,4148,4258.0,656.8,440.2,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,7,study
509,1,1020,8.0,3.0,scene_2,112,110.0,4148,4258.0,656.8,440.2,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,43,study
510,2,2100,8.0,3.0,scene_2,113,233.0,4289,4522.0,644.6,542.2,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,7,study
511,1,1020,8.0,3.0,scene_2,113,233.0,4289,4522.0,644.6,542.2,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,43,study
512,2,2100,8.0,3.0,scene_2,114,566.0,4534,5100.0,627.0,533.8,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,7,study
513,1,1020,8.0,3.0,scene_2,114,566.0,4534,5100.0,627.0,533.8,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,43,study
514,2,2100,8.0,3.0,scene_2,115,134.0,5118,5252.0,669.7,534.4,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,7,study
515,1,1020,8.0,3.0,scene_2,115,134.0,5118,5252.0,669.7,534.4,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,43,study
516,2,2100,8.0,1.0,scene_1,627,378.0,7,385.0,691.4,535.3,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
517,1,1020,8.0,1.0,scene_1,627,378.0,7,385.0,691.4,535.3,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
518,2,2100,8.0,1.0,scene_1,628,255.0,410,665.0,755.0,484.0,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
519,1,1020,8.0,1.0,scene_1,628,255.0,410,665.0,755.0,484.0,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
520,2,2100,8.0,1.0,scene_1,629,276.0,699,975.0,831.9,431.6,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
521,1,1020,8.0,1.0,scene_1,629,276.0,699,975.0,831.9,431.6,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
522,2,2100,8.0,1.0,scene_1,630,275.0,1023,1298.0,712.7,475.8,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
523,1,1020,8.0,1.0,scene_1,630,275.0,1023,1298.0,712.7,475.8,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
524,2,2100,8.0,1.0,scene_1,631,1012.0,1335,2347.0,652.7,484.9,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
525,1,1020,8.0,1.0,scene_1,631,1012.0,1335,2347.0,652.7,484.9,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
526,2,2100,8.0,1.0,scene_1,632,248.0,2365,2613.0,650.6,514.3,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
527,1,1020,8.0,1.0,scene_1,632,248.0,2365,2613.0,650.6,514.3,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
528,2,2100,8.0,1.0,scene_1,633,256.0,2658,2914.0,821.0,444.5,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
529,1,1020,8.0,1.0,scene_1,633,256.0,2658,2914.0,821.0,444.5,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
530,2,2100,8.0,1.0,scene_1,634,285.0,2966,3251.0,661.0,510.8,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
531,1,1020,8.0,1.0,scene_1,634,285.0,2966,3251.0,661.0,510.8,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
532,2,2100,8.0,1.0,scene_1,635,200.0,3294,3494.0,849.8,447.5,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
533,1,1020,8.0,1.0,scene_1,635,200.0,3294,3494.0,849.8,447.5,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
534,2,2100,8.0,3.0,scene_2,636,279.0,3544,3823.0,695.9,496.8,7,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,7,study
