,level_0,subject_id,block_id,file_position,trial_id,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,start,stop,duration,type_count,index,phase
146,146,1020,1,725585,4.0,ESACC,L,1054580,1054597.0,18.0,601.2,521.2,632.2,537.3,0.95,81,1051232,3348,3365.0,17.0,48,146,nan
147,147,1020,1,733672,4.0,EFIX,L,1054598,1054813.0,216.0,628.4,537.4,3399,None,None,None,1051232,3366,3581.0,215.0,52,147,nan
148,148,1020,1,733726,4.0,SSACC,L,1054814,nan,nan,None,None,None,None,None,None,1051232,3582,nan,nan,49,148,nan
149,149,1020,1,734410,4.0,ESACC,L,1054814,1054831.0,18.0,627.7,534.0,589.7,545.2,1.08,101,1051232,3582,3599.0,17.0,49,149,nan
150,150,1020,1,772430,4.0,EFIX,L,1054832,1055856.0,1025.0,601.3,546.3,3744,None,None,None,1051232,3600,4624.0,1024.0,53,150,nan
151,151,1020,1,772485,4.0,SSACC,L,1055857,nan,nan,None,None,None,None,None,None,1051232,4625,nan,nan,50,151,nan
152,152,1020,1,773132,4.0,ESACC,L,1055857,1055873.0,17.0,603.4,543.5,620.8,503.7,1.14,91,1051232,4625,4641.0,16.0,50,152,nan
153,153,1020,1,795851,4.0,EFIX,L,1055874,1056482.0,609.0,620.5,492.9,4063,None,None,None,1051232,4642,5250.0,608.0,54,153,nan
154,154,1020,1,802310,5.0,EFIX,L,1057187,1057330.0,144.0,634.3,559.0,2805,None,None,None,1057180,7,150.0,143.0,55,154,nan
155,155,1020,1,802364,5.0,SSACC,L,1057331,nan,nan,None,None,None,None,None,None,1057180,151,nan,nan,51,155,nan
156,156,1020,1,802937,5.0,ESACC,L,1057331,1057345.0,15.0,638.2,559.1,625.0,528.7,0.87,72,1057180,151,165.0,14.0,51,156,nan
157,157,1020,1,811542,5.0,EFIX,L,1057346,1057575.0,230.0,628.2,525.2,2806,None,None,None,1057180,166,395.0,229.0,56,157,nan
158,158,1020,1,811596,5.0,SSACC,L,1057576,nan,nan,None,None,None,None,None,None,1057180,396,nan,nan,52,158,nan
159,159,1020,1,813131,5.0,ESACC,L,1057576,1057616.0,41.0,628.8,527.0,393.2,503.2,6.45,253,1057180,396,436.0,40.0,52,159,nan
160,160,1020,1,822032,5.0,EFIX,L,1057617,1057854.0,238.0,393.7,502.7,2980,None,None,None,1057180,437,674.0,237.0,57,160,nan
161,161,1020,1,822086,5.0,SSACC,L,1057855,nan,nan,None,None,None,None,None,None,1057180,675,nan,nan,53,161,nan
162,162,1020,1,823991,5.0,ESACC,L,1057855,1057905.0,51.0,393.5,502.5,888.1,440.6,13.54,425,1057180,675,725.0,50.0,53,162,nan
163,163,1020,1,838664,5.0,EFIX,L,1057906,1058299.0,394.0,873.8,435.0,3096,None,None,None,1057180,726,1119.0,393.0,58,163,nan
164,164,1020,1,838718,5.0,SSACC,L,1058300,nan,nan,None,None,None,None,None,None,1057180,1120,nan,nan,54,164,nan
165,165,1020,1,840327,5.0,ESACC,L,1058300,1058342.0,43.0,871.3,428.9,556.5,453.7,8.66,360,1057180,1120,1162.0,42.0,54,165,nan
